key,Газ 1
1,29.7499859302
2,12.5555609779
3,28.5547926192
4,18.8412192323
5,5.4136918254
6,11.2733920899
7,9.836267334
8,15.1715526741
9,8.216622633899998
10,6.529891037900001
11,3.639128173800001
12,11.0262591756
13,11.443643024300002
14,5.0989450231
15,11.0854514251
16,7.9912565383
17,15.1759331266
18,14.6600613607
19,6.5562340435
20,10.698529526
21,14.615434429
22,13.210860831400002
23,14.515347167900002
24,11.4877755051
25,9.0600177589
26,9.631086046
27,10.4042990572
28,11.9970023804
29,5.9551362154000005
30,13.494307057300002
31,7.485146782799999
32,14.8814040739
33,14.3112436064
34,11.743690918
35,10.7114693823
36,9.2943379975
37,13.6079608169
38,8.4967464916
39,10.4276220702
40,2.9401933443
41,0.8860247072
42,0.66223378
43,7.3403303049
44,21.2652711035
45,18.601690105800003
46,6.1184414589000005
47,7.9277425537
48,8.1200928869
49,10.4412280032
50,10.6682367139
51,9.23675771
52,14.1196149445
53,7.0903066376
54,5.547380050699999
55,8.9156834717
56,13.911369140699996
57,13.1501496276
58,6.810519531199999
59,1.2793217390999998
60,10.7149415588
61,7.897148315399999
62,16.9762156372
63,11.2305148411
64,17.742133666900003
65,19.8746448176
66,7.7159208622
67,9.3420918512
68,3.7272072498
69,13.8666679832
70,6.688318178499999
71,16.210094297799998
72,3.3772273102000003
73,8.113340078899999
74,6.5676578772
75,6.4345578824
76,7.838460865
77,11.0249421236
78,12.523541311
79,9.5851558489
80,3.6933441479
81,7.2376527481
82,5.7077464933
83,8.703511158200001
84,8.6625014619
85,5.2477790377
86,4.8554485632
87,8.115679527700001
88,10.32996521
89,3.0556995858
90,9.9937188569
91,11.3599044196
92,7.8235756836
93,5.064115559899999
94,13.0054078113
95,14.3814833683
96,5.8716591864000005
97,17.226810898
98,16.346660108000002
99,1.986317052
100,12.6431868068
101,20.5141887056
102,15.091339922
103,10.5216540377
104,8.8054726781
105,11.7672250615
106,33.2139897159
107,5.0348748794
108,5.7431511841
109,2.2597010498
110,4.9359488842
111,10.9902272798
112,4.9648824463
113,25.3779296152
114,14.6832284493
115,22.201580005
116,8.1713769592
117,50.581035013100006
118,38.9827398224
119,17.8756120967
120,17.9996244213
121,6.7203439942
122,19.0480647244
123,14.7896557617
124,16.7632246998
125,11.7247954765
126,7.8367570541
127,9.1355617525
128,6.0680667954
129,2.4272277569
130,4.4812694408
131,21.4992836914
132,5.169613554
133,11.4241620331
134,8.2496729126
135,7.0171923218000005
136,3.3405766281000004
137,8.1658959504
138,8.441172140599999
139,10.3281776137
140,18.0166129557
141,13.4287326555
142,14.5792473411
143,5.4287686292
144,10.4298959238
145,10.5492544729
146,28.1026210214
147,12.2970375817
148,14.299288592300002
149,10.508564236200002
150,4.7139307709
151,2.026553668
152,5.6666535283
153,4.294465838400001
154,5.3485493089
155,5.4681435667
156,7.936044958
157,6.5678392911
158,8.532506727400001
159,8.3414160623
160,10.882282608
161,15.2413192455
162,7.7457304688
163,14.216687922
164,12.5453872191
165,10.100949707000002
166,20.8433868152
167,10.3938554628
168,7.809115974400001
169,9.8249840133
170,17.588321512100002
171,21.2584638738
172,10.6896213289
173,6.3110101051
174,1.9461559556000003
175,3.2584127323
176,17.8424329065
177,12.5951856539
178,19.1050570039
179,8.3888031624
180,8.5470160157
181,4.3905892884
182,2.2001822065
183,6.400069565
184,7.105240753099999
185,5.5784353495
186,5.4298520154
187,9.9981386718
188,2.609630127
189,16.5150600624
190,10.0181753171
191,20.4429038629
192,7.6533211172
194,6.718448501399999
195,0.3744359664
196,7.840433336299999
197,3.4394108932000003
198,9.023793764
199,8.6802767944
200,7.9721220703
201,13.069208001700002
202,16.9762313146
203,8.7623264466
204,12.104109026699998
